,0
0,100000
1,100000
2,100000.0
3,103509.00689999998
4,103509.00689999998
5,103509.00689999998
6,102191.99909999999
7,96210.01089999988
8,94385.95809999981
9,94933.98530000001
10,89986.01650000004
11,75630.98740000006
12,76711.00180000009
13,83754.98619999993
14,91515.02569999981
15,92684.97669999988
16,90761.00389999984
17,110221.04789999996
18,108621.04029999989
19,110621.04389999993
20,138021.04029999988
21,165381.0058000001
22,137184.99019999994
23,151029.96979999985
24,153319.00489999994
25,146320.98149999988
26,163817.05170000007
27,150597.02449999988
28,138517.0284999999
29,154292.04299999966
30,128119.9199999997
31,135450.00799999986
32,124294.98349999997
33,128079.95400000003
34,117164.93450000009
35,99867.05149999988
36,98607.05149999988
37,107907.05750000027
38,121743.05149999994
39,121413.94930000021
40,150381.93329999968
41,145855.07459999935
42,118025.03559999961
43,115005.06459999966
