Date,predict,trueValue
14/02/2018,2652.849142,2698.629883
15/02/2018,2693.354704,2731.199951
16/02/2018,2721.67666,2732.219971
20/02/2018,2736.203695,2716.26001
21/02/2018,2719.205276,2701.330078
22/02/2018,2711.580554,2703.959961
23/02/2018,2710.689067,2747.300049
26/02/2018,2744.156328,2779.600098
27/02/2018,2775.885377,2744.280029
28/02/2018,2750.928738,2713.830078
01/03/2018,2727.47132,2677.669922
02/03/2018,2685.434338,2691.25
05/03/2018,2689.060099,2720.939941
06/03/2018,2716.596879,2728.120117
07/03/2018,2723.030425,2726.800049
08/03/2018,2725.989868,2738.969971
09/03/2018,2739.503039,2786.570068
12/03/2018,2785.57854,2783.02002
13/03/2018,2782.75545,2765.310059
14/03/2018,2772.616838,2749.47998
15/03/2018,2756.823204,2747.330078
16/03/2018,2751.025883,2752.01001
19/03/2018,2759.054376,2712.919922
20/03/2018,2707.975997,2716.939941
21/03/2018,2734.583505,2711.929932
22/03/2018,2710.25827,2643.689941
23/03/2018,2648.850518,2588.26001
26/03/2018,2619.28262,2658.550049
27/03/2018,2655.889193,2612.620117
28/03/2018,2614.74763,2605
29/03/2018,2617.05968,2640.870117
02/04/2018,2648.159526,2581.879883
03/04/2018,2577.794033,2614.449951
04/04/2018,2614.244587,2644.689941
05/04/2018,2628.132424,2662.840088
06/04/2018,2661.798456,2604.469971
09/04/2018,2609.123664,2613.159912
10/04/2018,2629.489056,2656.870117
11/04/2018,2653.466459,2642.189941
12/04/2018,2642.734968,2663.98999
13/04/2018,2669.630253,2656.300049
16/04/2018,2661.466322,2677.840088
17/04/2018,2684.337076,2706.389893
18/04/2018,2710.346585,2708.639893
19/04/2018,2713.349307,2693.129883
20/04/2018,2696.657814,2670.139893
23/04/2018,2676.857488,2670.290039
24/04/2018,2670.041138,2634.560059
25/04/2018,2636.609604,2639.399902
26/04/2018,2637.940291,2666.939941
,,
