DATE,CHNGDPNQDSMEI
2000-01-01,2132.99
2000-04-01,2404.34
2000-07-01,2571.25
2000-10-01,2919.43
2001-01-01,2408.64
2001-04-01,2672.66
2001-07-01,2833.33
2001-10-01,3171.68
2002-01-01,2629.5
2002-04-01,2919.48
2002-07-01,3125.73
2002-10-01,3497.03
2003-01-01,2982.55
2003-04-01,3253.73
2003-07-01,3529.19
2003-10-01,3976.74
2004-01-01,3454.46
2004-04-01,3870.08
2004-07-01,4185.5
2004-10-01,4673.98
2005-01-01,4045.33
2005-04-01,4479.31
2005-07-01,4804.78
2005-10-01,5402.48
2006-01-01,4707.89
2006-04-01,5267.33
2006-07-01,5606.47
2006-10-01,6362.16
2007-01-01,5717.7
2007-04-01,6480.96
2007-07-01,6952.43
2007-10-01,7872.14
2008-01-01,6941.04
2008-04-01,7876.9
2008-07-01,8254.19
2008-10-01,8879.43
2009-01-01,7405.31
2009-04-01,8398.13
2009-07-01,9001.41
2009-10-01,10103.28
2010-01-01,8761.67
2010-04-01,9953.24
2010-07-01,10623.87
2010-10-01,11964.25
2011-01-01,10464.13
2011-04-01,11917.43
2011-07-01,12698.16
2011-10-01,13850.33
2012-01-01,11759.39
2012-04-01,13168.25
2012-07-01,13862.22
2012-10-01,15246.89
2013-01-01,12974.7
2013-04-01,14396.7
2013-07-01,15290.53
2013-10-01,16862.51
2014-01-01,14061.83
2014-04-01,15646.13
2014-07-01,16571.19
2014-10-01,18118.25
2015-01-01,15098.67
2015-04-01,16850.3
2015-07-01,17671.04
2015-10-01,19285.19
2016-01-01,16145.63
2016-04-01,18061.5
2016-07-01,19036.27
2016-10-01,21115.14
2017-01-01,18038.53
2017-04-01,20055.87
2017-07-01,21159.55
2017-10-01,23458.22
2018-01-01,19878.31
