,test_date,prediction,true_value
0,2018-01-02,2506.7200660705566,2673.610107
1,2018-01-03,2504.103183746338,2695.810059
2,2018-01-04,2509.650707244873,2713.060059
3,2018-01-05,2518.5070037841797,2723.98999
4,2018-01-08,2526.1526107788086,2743.149902
5,2018-01-09,2534.363269805908,2747.709961
6,2018-01-10,2537.6338958740234,2751.290039
7,2018-01-11,2540.973424911499,2748.22998
8,2018-01-12,2538.4325981140137,2767.560059
9,2018-01-16,2546.2093353271484,2786.23999
10,2018-01-17,2555.389881134033,2776.419922
11,2018-01-18,2559.140682220459,2802.560059
12,2018-01-19,2563.4164810180664,2798.030029
13,2018-01-22,2564.3973350524902,2810.300049
14,2018-01-23,2567.7924156188965,2832.969971
15,2018-01-24,2576.4498710632324,2839.129883
16,2018-01-25,2582.038402557373,2837.540039
17,2018-01-26,2584.174633026123,2839.25
18,2018-01-29,2584.1407775878906,2872.8701170000004
19,2018-01-30,2594.430923461914,2853.530029
20,2018-01-31,2592.296600341797,2822.429932
21,2018-02-01,2577.4993896484375,2823.810059
22,2018-02-02,2577.946662902832,2821.97998
23,2018-02-05,2575.204610824585,2762.129883
24,2018-02-06,2557.2128295898438,2648.939941
25,2018-02-07,2514.505386352539,2695.139893
26,2018-02-08,2500.4444122314453,2681.659912
27,2018-02-09,2511.2459659576416,2581.0
28,2018-02-12,2477.543354034424,2619.550049
29,2018-02-13,2469.1898822784424,2656.0
30,2018-02-14,2489.2232418060303,2662.939941
31,2018-02-15,2491.950750350952,2698.629883
32,2018-02-16,2506.6637992858887,2731.199951
33,2018-02-20,2527.4596214294434,2732.219971
34,2018-02-21,2532.508611679077,2716.26001
35,2018-02-22,2525.789737701416,2701.330078
36,2018-02-23,2523.014545440674,2703.959961
37,2018-02-26,2520.1382637023926,2747.300049
38,2018-02-27,2533.874034881592,2779.600098
39,2018-02-28,2551.28812789917,2744.280029
40,2018-03-01,2546.8692779541016,2713.830078
41,2018-03-02,2532.4153900146484,2677.669922
42,2018-03-05,2514.0156745910645,2691.25
43,2018-03-06,2505.023956298828,2720.939941
44,2018-03-07,2520.01953125,2728.1201170000004
45,2018-03-08,2529.0138721466064,2726.800049
46,2018-03-09,2525.794506072998,2738.969971
47,2018-03-12,2533.1342220306396,2786.570068
48,2018-03-13,2553.105354309082,2783.02002
49,2018-03-14,2558.3348274230957,2765.310059
50,2018-03-15,2554.9912452697754,2749.47998
51,2018-03-16,2545.7868576049805,2747.330078
52,2018-03-19,2540.910482406616,2752.01001
53,2018-03-20,2541.4154529571533,2712.919922
54,2018-03-21,2527.9250144958496,2716.939941
55,2018-03-22,2523.137092590332,2711.929932
56,2018-03-23,2523.815155029297,2643.689941
57,2018-03-26,2496.981143951416,2588.26001
58,2018-03-27,2469.8989391326904,2658.550049
59,2018-03-28,2485.8076572418213,2612.6201170000004
60,2018-03-29,2482.2099208831787,2605.0
61,2018-04-02,2465.655565261841,2640.8701170000004
62,2018-04-03,2479.91943359375,2581.879883
63,2018-04-04,2463.2816314697266,2614.449951
64,2018-04-05,2463.4640216827393,2644.689941
65,2018-04-06,2475.1555919647217,2662.840088
66,2018-04-09,2493.971347808838,2604.469971
67,2018-04-10,2474.1897583007812,2613.159912
68,2018-04-11,2471.8542098999023,2656.8701170000004
69,2018-04-12,2488.7022972106934,2642.189941
70,2018-04-13,2484.950065612793,2663.98999
71,2018-04-16,2494.136333465576,2656.300049
72,2018-04-17,2496.1557388305664,2677.840088
73,2018-04-18,2501.7573833465576,2706.389893
74,2018-04-19,2515.961170196533,2708.639893
75,2018-04-20,2519.47283744812,2693.129883
76,2018-04-23,2512.315034866333,2670.139893
77,2018-04-24,2503.9191246032715,2670.290039
78,2018-04-25,2500.01859664917,2634.560059
79,2018-04-26,2491.337776184082,2639.399902
80,2018-04-27,2480.5948734283447,2666.939941
