Date,predict,trueValue
14/02/2018,2654.864588,2651.209961
15/02/2018,2693.107951,2713.459961
16/02/2018,2724.328874,2727.139893
20/02/2018,2729.950916,2722.98999
21/02/2018,2713.514098,2720.530029
22/02/2018,2703.543744,2710.419922
23/02/2018,2707.785343,2715.800049
26/02/2018,2747.52168,2757.370117
27/02/2018,2779.898856,2780.449951
28/02/2018,2748.834994,2753.780029
01/03/2018,2718.885431,2715.219971
02/03/2018,2683.453823,2658.889893
05/03/2018,2693.355728,2681.060059
06/03/2018,2720.550346,2730.179932
07/03/2018,2726.660609,2710.179932
08/03/2018,2724.849816,2732.75
09/03/2018,2737.269693,2752.909912
12/03/2018,2781.791115,2790.540039
13/03/2018,2781.85508,2792.310059
14/03/2018,2765.565438,2774.060059
15/03/2018,2752.4023,2754.27002
16/03/2018,2749.606863,2750.570068
19/03/2018,2763.230361,2741.379883
20/03/2018,2712.133743,2715.050049
21/03/2018,2718.215217,2714.98999
22/03/2018,2712.437295,2691.360107
23/03/2018,2641.801872,2646.709961
26/03/2018,2592.200438,2619.350098
27/03/2018,2656.871872,2667.570068
28/03/2018,2608.276928,2611.300049
29/03/2018,2604.792241,2614.409912
02/04/2018,2649.596932,2633.449951
03/04/2018,2576.558971,2592.169922
04/04/2018,2616.758858,2584.040039
05/04/2018,2640.778977,2657.360107
06/04/2018,2661.886186,2645.820068
09/04/2018,2597.457979,2617.179932
10/04/2018,2617.514891,2638.409912
11/04/2018,2664.400143,2643.889893
12/04/2018,2646.279927,2653.830078
13/04/2018,2672.257609,2676.899902
16/04/2018,2657.156593,2670.100098
17/04/2018,2679.226445,2692.73999
18/04/2018,2715.973768,2710.110107
19/04/2018,2713.709054,2701.159912
20/04/2018,2697.453565,2692.560059
23/04/2018,2671.565621,2675.399902
24/04/2018,2674.817428,2680.800049
25/04/2018,2638.297218,2634.919922
26/04/2018,2643.501348,2651.649902
27/04/2018,2674.18558,2675.469971
