date,predict,trueValue,dqn_action
03/01/2017,2236.026301,2251.570068,Sell
04/01/2017,2258.227221,2261.600098,Buy
05/01/2017,2270.824673,2268.179932,Sell
06/01/2017,2269.830514,2271.139893,Buy
09/01/2017,2278.615113,2273.590088,Sell
10/01/2017,2268.812316,2269.719971,Buy
11/01/2017,2271.215312,2268.600098,Sell
12/01/2017,2273.707536,2271.139893,Buy
13/01/2017,2265.717224,2272.73999,Sell
17/01/2017,2274.805483,2269.139893,Buy
18/01/2017,2265.344098,2269.139893,Sell
19/01/2017,2268.911583,2271.899902,Buy
20/01/2017,2261.851883,2269.959961,Sell
23/01/2017,2268.866617,2267.780029,Buy
24/01/2017,2262.73837,2267.879883,Sell
25/01/2017,2280.07718,2288.879883,Buy
26/01/2017,2299.845973,2298.629883,Sell
27/01/2017,2295.615378,2299.02002,Buy
30/01/2017,2295.537616,2286.01001,Sell
31/01/2017,2276.50289,2274.02002,Buy
01/02/2017,2277.648728,2285.590088,Sell
02/02/2017,2278.059444,2276.689941,Buy
03/02/2017,2279.208265,2288.540039,Sell
06/02/2017,2298.29293,2294.280029,Buy
07/02/2017,2292.07467,2295.870117,Sell
08/02/2017,2292.799582,2289.550049,Buy
09/02/2017,2292.416789,2296.699951,Sell
10/02/2017,2309.337975,2312.27002,Buy
13/02/2017,2315.623539,2321.719971,Sell
14/02/2017,2329.934484,2326.120117,Buy
15/02/2017,2336.086518,2335.580078,Sell
16/02/2017,2348.001239,2349.639893,Buy
17/02/2017,2346.280332,2343.01001,Sell
21/02/2017,2349.244459,2354.909912,Buy
22/02/2017,2365.248641,2361.110107,Sell
23/02/2017,2360.151241,2367.5,Buy
24/02/2017,2362.147074,2355.72998,Sell
27/02/2017,2367.091002,2365.22998,Buy
28/02/2017,2367.150787,2366.080078,Sell
01/03/2017,2361.114261,2380.129883,Buy
02/03/2017,2397.202193,2394.75,Sell
03/03/2017,2380.540636,2380.919922,Buy
06/03/2017,2381.371522,2375.22998,Sell
07/03/2017,2373.930253,2370.73999,Buy
08/03/2017,2365.011923,2369.810059,Sell
09/03/2017,2360.445886,2363.48999,Buy
10/03/2017,2362.214407,2372.52002,Sell
13/03/2017,2371.079365,2371.560059,Buy
14/03/2017,2373.289577,2368.550049,Sell
15/03/2017,2362.579232,2370.340088,Buy
16/03/2017,2385.413844,2387.709961,Sell
17/03/2017,2379.089528,2383.709961,Buy
20/03/2017,2377.021155,2378.23999,Sell
21/03/2017,2372.84875,2379.320068,Buy
22/03/2017,2343.866858,2343,Sell
23/03/2017,2348.636192,2345.969971,Buy
24/03/2017,2346.419641,2350.419922,Sell
27/03/2017,2343.559058,2329.110107,Buy
28/03/2017,2338.763601,2339.790039,Sell
29/03/2017,2357.24252,2356.540039,Buy
30/03/2017,2357.155112,2361.310059,Sell
31/03/2017,2366.170429,2364.820068,Buy
03/04/2017,2360.159475,2362.340088,Sell
04/04/2017,2353.13237,2354.76001,Buy
05/04/2017,2356.559347,2366.590088,Sell
06/04/2017,2353.802957,2353.790039,Buy
07/04/2017,2356.014644,2356.590088,Sell
10/04/2017,2355.159958,2357.159912,Buy
11/04/2017,2358.055741,2353.919922,Sell
12/04/2017,2348.991881,2352.149902,Buy
13/04/2017,2344.556318,2341.97998,Sell
17/04/2017,2328.991068,2332.620117,Buy
18/04/2017,2348.930136,2342.530029,Sell
19/04/2017,2340.297364,2346.790039,Buy
20/04/2017,2338.125752,2342.689941,Sell
21/04/2017,2357.207617,2354.73999,Buy
24/04/2017,2348.490331,2370.330078,Sell
25/04/2017,2377.516589,2381.51001,Buy
26/04/2017,2393.081128,2388.97998,Sell
27/04/2017,2389.794164,2389.699951,Buy
28/04/2017,2393.655893,2393.679932,Sell
01/05/2017,2388.076102,2388.5,Buy
02/05/2017,2393.1068,2391.050049,Sell
03/05/2017,2395.971808,2386.5,Buy
04/05/2017,2389.179157,2389.790039,Sell
05/05/2017,2389.165118,2392.370117,Buy
08/05/2017,2400.873209,2399.939941,Sell
09/05/2017,2398.635923,2401.580078,Buy
10/05/2017,2394.970063,2396.790039,Sell
11/05/2017,2399.273123,2394.840088,Buy
12/05/2017,2391.49813,2392.439941,Sell
15/05/2017,2388.886024,2393.97998,Buy
16/05/2017,2403.75796,2404.550049,Sell
17/05/2017,2399.210437,2382.949951,Buy
18/05/2017,2353.09368,2354.689941,Sell
19/05/2017,2366.083712,2371.370117,Buy
22/05/2017,2381.713457,2387.209961,Sell
23/05/2017,2391.927509,2397.040039,Buy
24/05/2017,2399.135697,2401.409912,Sell
25/05/2017,2404.070004,2409.540039,Buy
26/05/2017,2414.612012,2414.5,Sell
30/05/2017,2412.865554,2411.669922,Buy
31/05/2017,2411.928525,2415.629883,Sell
01/06/2017,2410.198059,2415.649902,Buy
02/06/2017,2427.781224,2431.280029,Sell
05/06/2017,2439.286657,2437.830078,Buy
06/06/2017,2435.287555,2431.919922,Sell
07/06/2017,2428.381802,2432.030029,Buy
08/06/2017,2431.095431,2434.27002,Sell
09/06/2017,2433.54137,2436.389893,Buy
12/06/2017,2430.854427,2425.879883,Sell
13/06/2017,2427.545028,2434.149902,Buy
14/06/2017,2440.584147,2443.75,Sell
15/06/2017,2436.62286,2424.139893,Buy
16/06/2017,2430.62442,2431.23999,Sell
19/06/2017,2431.286774,2442.550049,Buy
20/06/2017,2452.941765,2450.659912,Sell
21/06/2017,2435.512944,2439.310059,Buy
22/06/2017,2434.850069,2437.399902,Sell
23/06/2017,2436.153242,2434.649902,Buy
26/06/2017,2439.258575,2443.320068,Sell
27/06/2017,2438.746112,2436.340088,Buy
28/06/2017,2420.602674,2428.699951,Sell
29/06/2017,2443.67484,2442.379883,Buy
30/06/2017,2414.99862,2429.199951,Sell
03/07/2017,2423.178452,2431.389893,Buy
05/07/2017,2431.129859,2430.780029,Sell
06/07/2017,2433.62268,2423.439941,Buy
07/07/2017,2410.09356,2413.52002,Sell
10/07/2017,2426.510334,2424.51001,Buy
11/07/2017,2428.533253,2427.350098,Sell
12/07/2017,2423.469439,2435.75,Buy
13/07/2017,2446.126525,2444.98999,Sell
14/07/2017,2447.101343,2449.159912,Buy
17/07/2017,2459.607815,2459.5,Sell
18/07/2017,2460.331919,2455.879883,Buy
19/07/2017,2459.756975,2463.850098,Sell
20/07/2017,2475.04828,2475.560059,Buy
21/07/2017,2473.20079,2467.399902,Sell
24/07/2017,2472.385613,2472.040039,Buy
25/07/2017,2469.555063,2477.879883,Sell
26/07/2017,2478.114341,2479.969971,Buy
27/07/2017,2479.677402,2482.76001,Sell
28/07/2017,2473.969924,2469.120117,Buy
31/07/2017,2472.830711,2475.939941,Sell
01/08/2017,2470.886561,2477.100098,Buy
02/08/2017,2478.37476,2480.379883,Sell
03/08/2017,2477.413869,2476.030029,Buy
04/08/2017,2472.217601,2476.879883,Sell
07/08/2017,2477.844818,2477.139893,Buy
08/08/2017,2481.218084,2478.350098,Sell
09/08/2017,2476.579035,2465.350098,Buy
10/08/2017,2471.907729,2465.379883,Sell
11/08/2017,2438.370458,2441.040039,Buy
14/08/2017,2440.863021,2454.959961,Sell
15/08/2017,2464.785525,2468.659912,Buy
16/08/2017,2463.550944,2468.629883,Sell
17/08/2017,2469.073589,2462.949951,Buy
18/08/2017,2427.844956,2427.639893,Sell
21/08/2017,2426.795889,2425.5,Buy
22/08/2017,2429.089671,2433.75,Sell
23/08/2017,2451.949001,2444.879883,Buy
24/08/2017,2442.972748,2447.909912,Sell
25/08/2017,2437.140288,2444.719971,Buy
28/08/2017,2444.04654,2447.350098,Sell
29/08/2017,2443.881864,2431.939941,Buy
30/08/2017,2443.763473,2446.060059,Sell
31/08/2017,2457.503875,2462.649902,Buy
01/09/2017,2472.13996,2474.419922,Sell
05/09/2017,2476.894798,2470.350098,Buy
06/09/2017,2455.151578,2463.830078,Sell
07/09/2017,2466.537395,2468.060059,Buy
08/09/2017,2467.234656,2462.25,Sell
11/09/2017,2462.240216,2474.52002,Buy
12/09/2017,2491.197591,2491.939941,Sell
13/09/2017,2498.72735,2493.889893,Buy
14/09/2017,2501.217335,2494.560059,Sell
15/09/2017,2497.600772,2495.669922,Buy
18/09/2017,2502.195952,2502.51001,Sell
19/09/2017,2504.341867,2506.290039,Buy
20/09/2017,2506.131777,2506.840088,Sell
21/09/2017,2506.617951,2507.159912,Buy
22/09/2017,2501.127045,2497.26001,Sell
25/09/2017,2500.775748,2499.389893,Buy
26/09/2017,2493.142256,2501.040039,Sell
27/09/2017,2496.551036,2503.300049,Buy
28/09/2017,2506.042959,2503.409912,Sell
29/09/2017,2510.411701,2509.959961,Buy
02/10/2017,2517.061891,2521.199951,Sell
03/10/2017,2528.68102,2530.340088,Buy
04/10/2017,2531.331464,2533.47998,Sell
05/10/2017,2536.404487,2540.860107,Buy
06/10/2017,2551.713555,2547.439941,Sell
09/10/2017,2545.5335,2551.389893,Buy
10/10/2017,2543.148482,2549.98999,Sell
11/10/2017,2548.287044,2550.620117,Buy
12/10/2017,2552.278343,2552.879883,Sell
13/10/2017,2548.526482,2555.659912,Buy
16/10/2017,2552.718884,2555.570068,Sell
17/10/2017,2559.347099,2557.169922,Buy
18/10/2017,2558.587729,2562.870117,Sell
19/10/2017,2561.933196,2553.389893,Buy
20/10/2017,2559.427106,2567.560059,Sell
23/10/2017,2573.719753,2578.080078,Buy
24/10/2017,2563.756598,2568.659912,Sell
25/10/2017,2569.178497,2566.52002,Buy
26/10/2017,2554.639224,2560.080078,Sell
27/10/2017,2561.864392,2570.26001,Buy
30/10/2017,2582.271399,2577.75,Sell
31/10/2017,2573.156158,2575.98999,Buy
01/11/2017,2578.056036,2583.209961,Sell
02/11/2017,2582.255535,2579.459961,Buy
03/11/2017,2578.519793,2581.929932,Sell
06/11/2017,2589.135971,2587.469971,Buy
07/11/2017,2592.199088,2592.110107,Sell
08/11/2017,2590.933652,2588.709961,Buy
09/11/2017,2593.708757,2584,Sell
10/11/2017,2580.162001,2580.179932,Buy
13/11/2017,2579.696659,2576.530029,Sell
14/11/2017,2582.258236,2577.75,Buy
15/11/2017,2573.049551,2569.449951,Sell
16/11/2017,2558.513792,2572.949951,Buy
17/11/2017,2583.721938,2582.939941,Sell
20/11/2017,2575.357484,2579.48999,Buy
21/11/2017,2578.765403,2589.169922,Sell
22/11/2017,2597.621689,2600.310059,Buy
24/11/2017,2594.591788,2600.419922,Sell
27/11/2017,2600.619295,2602.659912,Buy
28/11/2017,2600.267397,2605.939941,Sell
29/11/2017,2626.27809,2627.820068,Buy
30/11/2017,2625.709898,2633.929932,Sell
01/12/2017,2650.566895,2645.100098,Buy
04/12/2017,2637.013333,2657.189941,Sell
05/12/2017,2644.431233,2639.780029,Buy
06/12/2017,2633.182279,2626.23999,Sell
07/12/2017,2634.525313,2628.379883,Buy
08/12/2017,2638.845888,2646.209961,Sell
11/12/2017,2653.177404,2652.189941,Buy
12/12/2017,2661.645467,2661.72998,Sell
13/12/2017,2665.560129,2667.590088,Buy
14/12/2017,2664.302128,2665.870117,Sell
15/12/2017,2654.355984,2660.629883,Buy
18/12/2017,2679.094475,2685.919922,Sell
19/12/2017,2693.038123,2692.709961,Buy
20/12/2017,2684.330746,2688.179932,Sell
21/12/2017,2682.557088,2683.02002,Buy
22/12/2017,2690.927892,2684.219971,Sell
26/12/2017,2684.93455,2679.090088,Buy
27/12/2017,2680.554151,2682.100098,Sell
28/12/2017,2683.974015,2686.100098,Buy
29/12/2017,2686.846396,2689.149902,Sell
