,0
0,100000.0
1,95694.9912
2,92480.98630000002
3,99499.00010000006
4,108651.98540000006
5,119500.03220000006
6,115549.00880000005
7,106576.02650000002
8,104751.97369999991
9,105025.98730000002
10,103788.9951
11,103788.9951
12,103428.9903
13,99906.99810000003
14,98354.99020000006
15,97887.00980000006
16,98368.00300000003
17,98368.00300000003
18,98768.00490000006
19,98768.00490000006
20,91918.00580000004
21,80974.0196
22,102121.03129999997
23,92891.04489999998
24,90602.00979999988
25,97600.03319999995
26,80103.96299999976
27,93323.99019999988
28,108423.9852
29,92648.97070000006
30,110097.05270000012
31,104232.98230000003
32,113157.00190000003
33,110129.02549999999
34,121044.04499999993
35,138341.92800000007
36,139391.92800000007
37,131641.92299999972
38,117805.929
39,118088.01659999997
40,96362.02859999985
41,99882.91870000004
42,119363.946
43,121779.92279999983
