Date,Open,High,Low,Close,Adj Close,Volume
2014-10-09,144.020004,144.610001,140.720001,141.279999,130.576904,841600
2014-10-10,141.279999,142.800003,139.970001,140.630005,129.976151,1230600
2014-10-13,141.71000700000002,144.179993,140.330002,140.419998,129.782028,1304600
2014-10-14,141.58999599999999,146.979996,141.029999,145.330002,134.320084,1512300
2014-10-15,141.619995,144.399994,140.03999299999998,143.679993,132.795044,1483700
2014-10-16,141.350006,147.479996,141.350006,145.759995,134.717468,944600
2014-10-17,146.970001,150.970001,146.149994,150.03999299999998,138.673218,1240900
2014-10-20,150.53999299999998,153.53999299999998,150.53999299999998,153.21000700000002,141.603104,1118300
2014-10-21,154.0,155.389999,153.070007,155.270004,143.50701899999999,743000
2014-10-22,155.220001,157.199997,154.119995,154.389999,142.693695,977900
2014-10-23,155.169998,158.529999,155.08999599999999,157.699997,145.75294499999998,814800
2014-10-24,158.0,159.979996,157.03999299999998,158.619995,146.603226,908000
2014-10-27,157.669998,158.100006,155.020004,157.399994,145.475677,1115300
2014-10-28,154.259995,170.990005,153.979996,168.059998,155.328094,2885900
2014-10-29,165.649994,168.830002,165.649994,168.229996,155.48521399999998,1270800
2014-10-30,168.429993,171.300003,167.91000400000001,170.550003,157.629471,889000
2014-10-31,172.369995,173.699997,171.199997,172.050003,159.01580800000002,924500
2014-11-03,171.559998,173.270004,170.619995,172.600006,159.524124,784500
2014-11-04,172.429993,173.130005,170.690002,172.720001,159.635056,749700
2014-11-05,174.320007,174.449997,172.449997,172.850006,159.75521899999998,588800
2014-11-06,172.350006,174.899994,172.190002,174.83999599999999,161.594406,552200
2014-11-07,174.429993,176.619995,174.429993,175.809998,162.490952,722800
2014-11-10,175.809998,175.830002,173.5,173.78999299999998,160.623978,891800
2014-11-11,174.28999299999998,177.179993,174.119995,175.0,161.74231,774100
2014-11-12,174.220001,176.25,173.889999,175.21000700000002,161.936401,656900
2014-11-13,175.479996,177.21000700000002,174.470001,175.21000700000002,161.936401,501700
2014-11-14,174.830002,175.649994,172.16000400000001,173.270004,160.14338700000002,936400
2014-11-17,173.360001,177.199997,173.020004,175.550003,162.250641,784000
2014-11-18,175.570007,177.940002,175.570007,177.220001,163.794144,786600
2014-11-19,176.429993,179.949997,175.729996,179.889999,166.968445,1086500
2014-11-20,178.350006,182.33999599999999,178.179993,182.059998,168.98262,921000
2014-11-21,184.5,185.33999599999999,183.16000400000001,183.669998,170.47699,983700
2014-11-24,183.880005,185.279999,182.5,184.759995,171.488632,1214600
2014-11-25,184.860001,185.580002,183.830002,184.610001,171.34944199999998,864600
2014-11-26,184.600006,184.940002,182.600006,183.53999299999998,170.356277,593400
2014-11-28,184.240005,186.639999,183.520004,186.169998,172.797379,353300
2014-12-01,186.270004,186.83999599999999,184.389999,185.449997,172.12912,630600
2014-12-02,185.190002,185.800003,183.679993,184.820007,171.544373,655300
2014-12-03,185.25,189.46000700000002,185.020004,189.41000400000001,175.80465700000002,710000
2014-12-04,189.009995,190.220001,187.479996,188.259995,174.737259,565200
2014-12-05,188.009995,189.869995,187.139999,188.830002,175.266312,582600
2014-12-08,188.679993,189.0,185.779999,186.58999599999999,173.187241,524200
2014-12-09,184.360001,187.699997,183.830002,187.429993,173.96684299999998,527600
2014-12-10,186.350006,188.119995,183.169998,183.259995,170.09642,908800
2014-12-11,183.83999599999999,186.559998,183.5,184.46000700000002,171.21022,483500
2014-12-12,183.919998,185.600006,180.449997,180.639999,167.664612,1120800
2014-12-15,181.880005,184.889999,180.729996,183.360001,170.18923999999998,1206000
2014-12-16,179.059998,181.03999299999998,174.020004,174.429993,161.900665,2474900
2014-12-17,174.429993,189.720001,172.850006,188.929993,175.359116,3197700
2014-12-18,191.639999,192.440002,188.350006,190.520004,176.834915,1537600
2014-12-19,191.5,193.779999,187.990005,189.729996,176.101669,1678100
2014-12-22,189.389999,190.759995,187.320007,190.28999299999998,176.62146,665500
2014-12-23,191.110001,192.179993,190.380005,191.130005,177.401093,686600
2014-12-24,192.16000400000001,192.240005,191.050003,191.149994,177.419693,254400
2014-12-26,192.46000700000002,194.46000700000002,191.96000700000002,192.449997,178.626297,462100
2014-12-29,191.490005,194.029999,191.139999,193.029999,179.164627,635700
2014-12-30,192.889999,194.990005,192.529999,193.66000400000001,179.749359,725600
2014-12-31,194.880005,196.71000700000002,193.429993,193.740005,179.823639,508800
2015-01-02,194.169998,196.139999,191.259995,193.009995,179.146042,502400
2015-01-05,191.330002,192.300003,188.5,189.029999,175.45195,732200
2015-01-06,190.009995,190.5,186.139999,187.470001,174.003983,825700
2015-01-07,189.389999,192.809998,188.300003,191.880005,178.097244,605300
2015-01-08,193.470001,197.369995,192.270004,196.830002,182.691666,882100
2015-01-09,197.350006,199.919998,196.28999299999998,197.229996,183.062927,880800
2015-01-12,197.949997,200.440002,195.259995,198.96000700000002,184.668701,872200
2015-01-13,201.080002,205.16000400000001,194.809998,197.369995,183.192856,1185700
2015-01-14,195.190002,200.729996,194.800003,198.75,184.47377,1110700
2015-01-15,198.820007,200.720001,195.130005,195.479996,181.438629,900600
2015-01-16,194.770004,200.449997,194.350006,200.169998,185.791779,612500
2015-01-20,201.399994,201.630005,196.28999299999998,197.880005,183.666275,726500
2015-01-21,197.699997,199.110001,196.669998,197.66000400000001,183.462067,875200
2015-01-22,199.71000700000002,200.83999599999999,198.240005,199.71000700000002,185.364822,944000
2015-01-23,200.220001,201.970001,199.309998,200.919998,186.487869,379800
2015-01-26,200.58999599999999,203.759995,199.809998,203.070007,188.48341399999998,451200
2015-01-27,200.490005,203.240005,199.800003,201.869995,187.369644,470700
2015-01-28,204.259995,207.149994,201.080002,201.41000400000001,186.94268799999998,1154000
2015-01-29,201.020004,204.139999,199.5,203.949997,189.30024699999998,1010900
2015-01-30,203.770004,203.770004,198.800003,199.080002,184.78009,804400
2015-02-02,199.46000700000002,202.229996,197.0,201.119995,186.673523,1282500
2015-02-03,202.179993,202.91000400000001,198.199997,201.059998,186.617828,1185600
2015-02-04,207.190002,217.11000099999998,206.059998,214.88000499999998,199.445175,2154300
2015-02-05,215.25,215.5,210.539993,211.33999599999999,196.159439,1158700
2015-02-06,211.57000699999998,213.100006,209.5,211.13999900000002,195.97377,834700
2015-02-09,210.11999500000002,211.13999900000002,205.809998,206.28999299999998,191.472137,1081000
2015-02-10,207.970001,209.229996,205.330002,208.080002,193.133591,804700
2015-02-11,208.300003,209.74000499999997,206.509995,207.779999,192.855103,598300
2015-02-12,209.190002,213.88999900000002,207.770004,213.05000299999998,197.746613,1104000
2015-02-13,211.91000400000001,214.330002,211.91000400000001,213.229996,197.913635,488400
2015-02-17,212.309998,215.19999700000002,212.080002,213.50999500000003,198.17353799999998,703000
2015-02-18,211.960007,213.91000400000001,211.919998,212.55000299999998,197.282547,742500
2015-02-19,212.539993,213.41000400000001,210.25999500000003,212.330002,197.078323,810900
2015-02-20,211.25,213.789993,210.94999700000002,213.270004,197.950806,807900
2015-02-23,213.13000499999998,214.24000499999997,212.00999500000003,213.19999700000002,197.885803,607800
2015-02-24,213.809998,215.55000299999998,212.69999700000002,214.30000299999998,198.90683,676300
2015-02-25,212.080002,215.66000400000001,212.039993,214.149994,199.46563700000002,798200
2015-02-26,213.44999700000002,214.350006,211.13000499999998,212.80000299999998,198.20820600000002,762100
2015-02-27,213.270004,213.960007,211.25,211.94999700000002,197.416534,611500
2015-03-02,211.94999700000002,217.0,211.94999700000002,215.0,200.25735500000002,732200
2015-03-03,214.669998,215.580002,212.039993,214.47000099999997,199.763687,540500
2015-03-04,214.19999700000002,214.19999700000002,210.66000400000001,211.49000499999997,196.988068,726100
2015-03-05,212.63000499999998,213.309998,209.74000499999997,210.82000699999998,196.36402900000002,741200
2015-03-06,210.5,210.82000699999998,202.100006,203.419998,189.47142,1180900
2015-03-09,203.529999,206.28999299999998,202.080002,205.699997,191.595047,922900
2015-03-10,204.389999,204.690002,200.869995,202.550003,188.661072,729000
2015-03-11,203.149994,203.419998,195.130005,196.669998,183.18426499999998,1315000
2015-03-12,196.889999,200.470001,196.449997,199.509995,185.829514,650700
2015-03-13,198.240005,200.149994,195.350006,197.619995,184.06913799999998,864800
2015-03-16,198.029999,199.919998,197.179993,198.690002,185.06575,600800
2015-03-17,198.53999299999998,198.53999299999998,195.740005,196.929993,183.42643700000002,768300
2015-03-18,195.619995,199.729996,191.050003,198.919998,185.279984,1423000
2015-03-19,197.800003,199.220001,193.75,194.139999,180.82775900000001,1104900
2015-03-20,195.03999299999998,198.380005,194.419998,197.949997,184.376495,1023000
2015-03-23,197.0,200.179993,196.58999599999999,197.16000400000001,183.640656,823100
2015-03-24,196.389999,201.309998,196.389999,198.259995,184.665222,902800
2015-03-25,197.71000700000002,199.179993,193.929993,194.08999599999999,180.781158,662500
2015-03-26,192.869995,197.240005,192.800003,196.050003,182.60681200000002,1048200
2015-03-27,195.5,198.570007,194.639999,198.5,184.888809,542300
2015-03-30,199.080002,202.070007,199.070007,201.03999299999998,187.254593,686400
2015-03-31,200.520004,204.639999,200.009995,202.059998,188.204651,1007300
2015-04-01,201.889999,202.5,198.899994,201.389999,187.580612,934000
2015-04-02,200.0,201.669998,199.259995,200.380005,186.639877,821900
2015-04-06,199.75,202.419998,199.130005,201.020004,187.235962,588600
2015-04-07,201.0,202.08999599999999,197.669998,197.729996,184.1716,656200
2015-04-08,193.520004,197.279999,190.229996,196.139999,182.690598,1985600
2015-04-09,196.279999,197.08999599999999,193.240005,196.16000400000001,182.70924399999998,1001600
2015-04-10,197.479996,197.820007,195.429993,195.669998,182.252838,605300
2015-04-13,195.78999299999998,195.78999299999998,192.399994,193.940002,180.64146399999998,809900
2015-04-14,193.429993,196.919998,192.03999299999998,195.809998,182.38324,633600
2015-04-15,196.529999,197.0,193.940002,194.949997,181.582214,778000
2015-04-16,193.889999,193.979996,191.21000700000002,191.350006,178.22908,861500
2015-04-17,189.740005,191.570007,189.009995,189.600006,176.599075,931300
2015-04-20,191.25,194.929993,191.100006,194.850006,181.489059,1104900
2015-04-21,196.41000400000001,196.509995,193.649994,193.970001,180.669418,977100
2015-04-22,193.639999,194.309998,191.470001,191.770004,178.62025500000001,933800
2015-04-23,191.240005,192.190002,189.880005,190.919998,177.828537,1207300
2015-04-24,194.5,197.179993,193.110001,196.490005,183.016647,1163000
2015-04-27,196.669998,200.179993,196.669998,197.830002,184.26474,1975100
2015-04-28,182.53999299999998,187.5,179.119995,183.699997,171.103622,4734600
2015-04-29,182.940002,183.240005,177.240005,179.029999,166.75383,1636800
2015-04-30,179.690002,180.58999599999999,174.75,175.600006,163.559052,1691300
2015-05-01,175.869995,180.380005,175.389999,179.309998,167.014633,1244800
2015-05-04,179.399994,181.179993,178.770004,180.149994,167.797043,1036900
2015-05-05,180.270004,181.580002,179.550003,179.600006,167.28476,930000
2015-05-06,179.820007,180.75,177.880005,178.83999599999999,166.576874,840500
2015-05-07,179.53999299999998,182.820007,179.16000400000001,182.520004,170.004532,955900
2015-05-08,184.919998,188.479996,184.020004,185.649994,172.919876,1214200
2015-05-11,185.800003,188.940002,185.020004,186.979996,174.15872199999998,1557000
2015-05-12,186.899994,187.809998,185.08999599999999,186.449997,173.665054,939600
2015-05-13,185.899994,188.279999,185.169998,187.66000400000001,175.639923,1045900
2015-05-14,189.009995,190.240005,188.08999599999999,189.300003,177.17485,933600
2015-05-15,189.0,189.389999,185.020004,187.830002,175.799011,1225800
2015-05-18,187.639999,189.350006,186.990005,188.71000700000002,176.62265,659500
