"Date","Open","High","Low","Close","Volume"
"2018-02-05",15.82,16.25,15.75,16.17,23668
"2018-02-02",16.22,16.35,15.46,16.1,29155
"2018-02-01",16.86,16.95,16.2,16.23,53290
"2018-01-31",17.08,17.28,16.58,16.76,47988
"2018-01-30",17.37,17.65,17.23,17.24,34608
"2018-01-29",17.98,18,17.3,17.41,70598
"2018-01-26",17.63,18.27,17.63,17.92,97520
"2018-01-25",17.7,17.88,17.62,17.79,48015
"2018-01-24",17.87,18,17.62,17.8,48603
"2018-01-23",17.86,18.17,17.85,17.93,59204
"2018-01-22",17.72,17.92,17.53,17.84,41405
"2018-01-19",18.08,18.25,17.8,17.84,61172
"2018-01-18",18.06,18.34,18,18.09,53649
"2018-01-17",18.19,18.41,17.9,18.16,105158
"2018-01-16",17.7,18.74,17.69,18.46,172919
"2018-01-12",17.45,18.19,17.36,17.76,94532
"2018-01-11",17.35,17.62,17.25,17.49,49937
"2018-01-10",17.63,17.99,17.25,17.45,62177
"2018-01-09",17.7,18.35,17.6,17.75,80669
"2018-01-08",17.75,18.45,17.54,17.88,140905
"2018-01-05",17.19,18.49,17.13,17.95,168642
"2018-01-04",17.18,17.18,17.03,17.15,29443
"2018-01-03",17.04,17.23,16.88,17.14,42927
"2018-01-02",16.86,17.23,16.8,17.08,45729
"2017-12-29",16.55,16.79,16.52,16.79,24874
"2017-12-28",16.48,16.64,16.48,16.52,16887
"2017-12-27",16.68,16.75,16.46,16.49,20873
"2017-12-26",16.73,16.87,16.52,16.76,21867
"2017-12-22",16.9,16.94,16.74,16.75,17124
"2017-12-21",16.81,17,16.71,16.87,25009
"2017-12-20",17.05,17.3,16.64,16.9,39768
"2017-12-19",16.93,17.18,16.9,17.04,20276
"2017-12-18",17.1,17.1,16.88,16.94,21563
"2017-12-15",17.08,17.38,16.91,17.14,28477
"2017-12-14",17.01,17.5,16.8,17.07,37748
"2017-12-13",17.08,17.17,16.91,17.09,29928
"2017-12-12",16.98,17.57,16.9,17.16,60323
"2017-12-11",16.96,17,16.78,16.97,19376
"2017-12-08",16.78,17.08,16.77,16.96,30003
"2017-12-07",16.7,16.96,16.6,16.75,24478
"2017-12-06",16.5,16.77,16.38,16.71,23191
"2017-12-05",16.66,16.86,16.25,16.37,28415
"2017-12-04",17,17.19,16.73,16.74,22405
"2017-12-01",17.08,17.28,17,17.11,24747
"2017-11-30",17.09,17.77,16.92,17.18,50378
"2017-11-29",16.81,17.19,16.6,17.16,40354
"2017-11-28",16.49,16.93,16.41,16.81,31266
"2017-11-27",16.6,16.7,16.36,16.38,20949
"2017-11-24",16.4,16.68,16.35,16.61,24772
"2017-11-22",17.29,17.39,17,17.08,34278
"2017-11-21",17.05,17.45,16.9,17.32,38629
"2017-11-20",17.15,17.16,16.36,16.99,38183
"2017-11-17",18.15,18.2,17.01,17.1,67626
"2017-11-16",18,18.35,18,18.05,33350
"2017-11-15",18.36,18.47,18.01,18.25,46927
"2017-11-14",18.79,18.82,18.4,18.48,61756
"2017-11-13",18.72,18.96,18.72,18.87,33081
"2017-11-10",18.9,18.95,18.71,18.81,40465
"2017-11-09",19.07,19.08,18.85,18.95,36130
"2017-11-08",19.11,19.25,18.96,19.05,55316
"2017-11-07",19.02,19.42,18.82,19.3,68992
"2017-11-06",18.8,19.14,18.75,18.9,44959
"2017-11-03",18.92,19.08,18.7,18.91,44268
"2017-11-02",19.6,19.6,19.06,19.1,55942
"2017-11-01",19.4,19.76,19.4,19.63,89937
"2017-10-31",18.89,19.45,18.76,19.34,80816
"2017-10-30",19.14,19.33,18.5,18.75,51055
"2017-10-27",19.4,19.48,19.15,19.22,36260
"2017-10-26",19.28,19.4,19.12,19.37,39859
"2017-10-25",19.35,19.49,19.19,19.29,39912
"2017-10-24",19.18,19.5,19.05,19.23,41955
"2017-10-23",19.21,19.68,19.01,19.38,64980
"2017-10-20",18.59,19.16,18.58,19.12,57458
"2017-10-19",18.91,18.91,18.42,18.45,54396
"2017-10-18",19.36,19.52,18.91,18.91,51912
"2017-10-17",19.28,19.63,19.22,19.38,35708
"2017-10-16",19.85,19.9,19.3,19.3,55480
"2017-10-13",19.74,19.9,19.7,19.78,38891
"2017-10-12",20.06,20.19,19.55,19.74,62352
"2017-10-11",19.88,20.3,19.69,20.19,106858
"2017-10-10",19.89,19.9,19.56,19.87,52941
"2017-10-09",19.76,19.94,19.57,19.82,77688
"2017-09-29",19.18,19.44,19.18,19.4,47758
"2017-09-28",19.4,19.4,19.13,19.13,56847
"2017-09-27",19.3,19.52,19.21,19.42,52543
"2017-09-26",19.08,19.38,19.08,19.28,60273
"2017-09-25",19.8,19.8,19,19.08,115642
"2017-09-22",20.3,20.36,19.88,19.89,100493
"2017-09-21",20.73,20.95,20.38,20.42,122093
"2017-09-20",21.15,21.25,20.6,20.96,196577
"2017-09-19",20.84,22.22,20.84,21.5,294625
"2017-09-18",20.9,21.78,20.82,21,151078
"2017-09-15",20.77,21.29,20.61,20.65,181234
"2017-09-14",20.62,21.29,20.53,20.94,177128
"2017-09-13",20.93,20.95,20.52,20.74,128256
"2017-09-12",20.9,21.19,20.75,21.1,227722
"2017-09-11",21,21.74,20.81,21.37,358503
"2017-09-08",19.67,21.81,19.51,21.81,327504
"2017-09-07",19.77,20.09,19.55,19.83,141807
"2017-09-06",19.82,19.88,19.52,19.73,96440
"2017-09-05",19.82,20.32,19.7,19.73,136261
"2017-09-01",19.89,19.98,19.5,19.64,99133
"2017-08-31",20.2,20.2,19.8,19.88,130614
"2017-08-30",19.58,20.78,19.52,20.28,213727
"2017-08-29",19.9,20.33,19.33,19.45,161731
"2017-08-28",18.76,19.2,18.76,19.12,80792
"2017-08-25",18.64,18.93,18.53,18.83,44154
"2017-08-24",18.79,18.99,18.5,18.64,47660
"2017-08-23",19.09,19.09,18.8,18.82,62585
"2017-08-22",19.1,19.44,19,19.15,101835
"2017-08-21",18.95,19.16,18.82,18.95,71505
"2017-08-18",18.57,19.1,18.43,19.03,117897
"2017-08-17",18.34,18.76,18.34,18.63,63323
"2017-08-16",18.51,18.51,18.3,18.4,32836
"2017-08-15",18.47,18.56,18.32,18.51,40860
"2017-08-14",18.2,18.47,18.16,18.41,36181
"2017-08-11",18.8,18.81,18.18,18.21,79407
"2017-08-10",18.65,19.12,18.52,18.99,88446
"2017-08-09",18.61,18.86,18.56,18.65,41897
"2017-08-08",18.46,19,18.32,18.73,63242
"2017-08-07",18.72,18.8,18.5,18.61,34428
"2017-08-04",18.7,18.83,18.45,18.5,57365
"2017-08-03",18.78,18.79,18.6,18.69,71802
"2017-08-02",19.36,19.6,18.93,18.96,87829
"2017-08-01",19.18,19.49,19.03,19.36,102303
"2017-07-31",19,19.27,18.64,19.09,79506
"2017-07-28",19.1,19.22,18.95,19.04,55220
"2017-07-27",18.92,19.46,18.8,19.27,87369
"2017-07-26",19.13,19.36,18.73,18.89,72958
"2017-07-25",19.4,19.52,18.91,19.12,83333
"2017-07-24",19.64,19.83,19.41,19.51,102188
"2017-07-21",19.05,19.76,19.02,19.53,121565
"2017-07-20",18.98,19.99,18.92,19.38,153685
"2017-07-19",18.15,18.6,18,18.49,72326
"2017-07-18",17.93,18.31,17.93,18.25,69795
"2017-07-17",19.01,19.09,17.5,17.9,117054
"2017-07-14",19.53,19.64,19.11,19.14,88263
"2017-07-13",19.49,19.96,19.49,19.64,77779
"2017-07-12",19.63,19.85,19.07,19.58,92103
"2017-07-11",19.45,20.07,19.4,19.85,153787
"2017-07-10",18.84,19.56,18.73,19.4,119735
"2017-07-07",19.52,19.53,19,19.01,156783
"2017-07-06",20.26,20.26,19.7,19.7,114418
"2017-07-05",19.87,20.18,19.86,20.17,92977
"2017-07-03",20.27,20.29,19.93,20.06,81591
"2017-06-30",20.29,20.37,19.89,20,95704
"2017-06-29",20.55,20.95,20.1,20.18,143688
"2017-06-28",20.85,21.18,20.51,20.66,122637
"2017-06-27",20.65,21.24,20.58,20.96,180152
"2017-06-26",20.46,20.83,20.26,20.65,158553
"2017-06-23",20.02,20.63,19.78,20.46,157166
"2017-06-22",21,21.3,20.05,20.23,180486
"2017-06-21",21.34,21.6,20.8,21.07,193359
"2017-06-20",20.99,22.12,20.6,21.36,263349
"2017-06-19",19.91,21.29,19.9,20.98,270212
"2017-06-16",19.9,20.2,19.7,19.92,137445
"2017-06-15",19.67,20.33,19.6,20.01,146551
"2017-06-14",20.05,20.38,19.81,19.87,219867
"2017-06-13",20.27,20.76,20.11,20.55,210541
"2017-06-12",21.39,21.39,20.42,20.62,294562
"2017-06-09",20.23,21.89,19.96,21.41,434894
"2017-06-08",20.65,21.88,20.16,20.2,470072
"2017-06-07",19.2,21.28,19.2,20.94,371694
"2017-06-06",19.03,20.8,18.86,19.39,307014
"2017-06-05",18.7,19.49,18.62,19.03,211133
"2017-06-02",17.71,19.48,17.5,19.1,272258
"2017-06-01",17.76,18.34,17.66,17.76,128116
"2017-05-31",18.26,18.6,17.89,17.91,136522
"2017-05-26",18.12,18.28,17.81,17.85,127607
"2017-05-25",16.992,18.269,16.982,18.22,161922
"2017-05-24",17.428,17.517,16.19,17.388,161559
"2017-05-23",17.735,18.606,17.705,17.992,187466
"2017-05-22",18.111,18.339,17.527,17.754,130827
"2017-05-19",17.705,18.606,17.428,18.358,188458
"2017-05-18",17.824,18.101,17.329,17.863,131513
"2017-05-17",17.863,18.497,17.685,18.101,191298
"2017-05-16",16.932,18.685,16.853,18.101,234536
"2017-05-15",17.22,17.368,16.833,16.982,139985
"2017-05-12",17.061,18.002,16.873,17.626,169889
"2017-05-11",16.012,17.031,15.942,17.031,118301
"2017-05-10",16.299,16.774,16.2,16.348,72694
"2017-05-09",15.893,16.338,15.893,16.299,55584
"2017-05-08",16.626,16.794,15.853,15.893,84176
"2017-05-05",17.002,17.338,16.635,16.725,80486
"2017-05-04",17.18,17.388,17.012,17.111,91199
"2017-05-03",16.972,18.091,16.932,17.437,150796
"2017-05-02",16.635,17.18,16.606,17.081,86191
"2017-04-28",16.616,17.2,16.546,17.081,113345
"2017-04-27",16.111,16.566,15.952,16.437,98453
"2017-04-26",15.843,16.299,15.754,16.239,81656
"2017-04-25",15.695,16.121,15.606,15.843,84800
"2017-04-24",15.962,16.14,15.477,15.516,73452
"2017-04-21",16.536,16.784,16.121,16.15,84012
"2017-04-20",17.012,17.2,16.497,16.606,85484
"2017-04-19",16.932,17.051,16.437,17.031,110287
"2017-04-18",17.279,17.616,17.081,17.081,109685
"2017-04-17",17.527,17.715,17.031,17.338,140830
"2017-04-13",20.675,20.675,18.844,19.091,321412
"2017-04-12",19.012,19.893,18.517,19.893,420616
"2017-04-11",17.031,18.418,16.655,18.081,234096
"2017-04-10",16.635,17.091,16.507,16.932,104678
"2017-04-07",16.715,17.19,16.457,16.744,107914
"2017-04-06",16.328,16.814,16.19,16.695,110046
"2017-04-05",15.962,16.319,15.942,16.259,65719
"2017-03-31",16.338,16.606,15.952,16.061,95211
"2017-03-30",15.893,16.012,15.348,15.348,54427
"2017-03-29",16.13,16.22,15.873,15.922,28340
"2017-03-28",16.229,16.259,16.021,16.031,27349
"2017-03-27",16.111,16.299,16.012,16.229,35538
"2017-03-24",15.982,16.398,15.853,16.111,39927
"2017-03-23",16.051,16.14,15.893,15.982,33463
"2017-03-22",16.279,16.279,15.764,15.982,57752
"2017-03-21",16.319,16.427,16.239,16.309,30242
"2017-03-20",16.378,16.536,16.22,16.259,53442
"2017-03-17",16.833,16.833,16.418,16.457,46744
"2017-03-16",16.586,16.784,16.517,16.685,46823
"2017-03-15",16.616,16.705,16.447,16.497,44115
"2017-03-14",16.794,17.051,16.616,16.705,50749
"2017-03-13",16.784,16.794,16.487,16.744,58737
"2017-03-10",16.685,17.338,16.635,16.982,85981
"2017-03-09",17.23,17.477,16.903,16.923,100131
"2017-03-08",16.853,16.863,16.705,16.734,28718
"2017-03-07",16.814,17.012,16.705,16.853,40901
"2017-03-06",16.616,16.913,16.517,16.863,58174
"2017-03-03",17.091,17.091,16.536,16.616,80168
"2017-03-02",17.131,17.329,17.051,17.071,61358
"2017-03-01",17.15,17.279,17.031,17.081,43487
"2017-02-28",16.952,17.111,16.952,17.031,31729
"2017-02-27",17.22,17.477,16.923,17.031,52479
"2017-02-24",17.131,17.22,17.031,17.22,37988
"2017-02-23",17.378,17.477,17.051,17.131,64484
"2017-02-22",17.329,17.903,17.16,17.408,86615
"2017-02-21",17.131,17.586,16.962,17.418,73381
"2017-02-17",17.358,17.497,16.942,16.972,79631
"2017-02-16",17.338,17.626,17.309,17.487,99549
"2017-02-15",17.031,18.586,16.843,17.735,202342
"2017-02-14",16.952,17.101,16.804,17.002,55353
"2017-02-13",16.843,17.101,16.814,16.962,45941
"2017-02-10",17.269,17.309,16.863,16.932,65622
"2017-02-09",17.111,17.467,16.982,17.338,85714
"2017-02-08",17.091,17.16,16.814,17.081,62732
"2017-02-07",16.794,17.289,16.764,17.16,87751
"2017-02-06",16.497,17.012,16.497,16.873,62293
"2017-02-03",16.526,16.606,16.368,16.487,27158
"2017-01-26",16.467,16.566,16.427,16.447,30439
"2017-01-25",16.408,16.665,16.289,16.497,45603
"2017-01-24",16.596,16.744,16.398,16.408,41387
"2017-01-23",16.606,16.814,16.556,16.596,46577
"2017-01-20",16.289,16.715,16.259,16.546,49342
"2017-01-19",16.596,16.824,16.348,16.437,57243
"2017-01-18",16.358,17.329,16.249,16.734,99886
"2017-01-17",15.853,16.487,15.843,16.418,68718
"2017-01-13",18.071,18.2,16.853,16.942,149008
"2017-01-12",18.279,18.467,17.942,18.259,109670
"2017-01-11",19.012,19.141,18.24,18.368,180416
"2017-01-10",19.982,20.081,19.19,19.23,206121
"2017-01-09",19.725,20.24,19.596,20.17,258686
"2017-01-06",19.24,21.161,18.992,20.052,413915
"2017-01-05",19.21,19.398,18.913,19.24,163722
"2017-01-04",19.21,19.705,18.893,19.438,251292
"2017-01-03",18.477,19.319,18.477,19.2,124940
"2016-12-30",18.517,19.19,18.497,18.546,92786
"2016-12-29",19.061,19.091,18.527,18.646,121675
"2016-12-28",18.764,19.576,18.487,19.259,233304
"2016-12-27",18.497,19.23,18.339,18.764,193839
"2016-12-23",18.962,19.081,17.962,18.131,183850
"2016-12-22",18.041,19.626,17.942,19.091,268737
"2016-12-21",17.883,18.249,17.774,18.121,150775
"2016-12-20",18.646,18.814,17.774,17.913,256983
"2016-12-19",18.992,19.745,18.952,19.141,296007
"2016-12-16",19.21,20.081,18.715,18.784,340896
"2016-12-15",19.418,20.864,19.17,19.537,475291
"2016-12-14",18.21,20.666,18.071,19.873,532378
"2016-12-13",17.972,18.943,16.833,18.784,381050
"2016-12-12",17.824,19.111,17.784,18.309,428514
"2016-12-09",16.101,17.606,16.101,17.606,123905
"2016-12-08",16.14,16.19,15.992,16.002,34641
"2016-12-07",16.002,16.121,15.873,16.101,27233
"2016-12-06",15.744,16.19,15.705,16.041,37586
"2016-12-05",16.041,16.398,15.754,15.794,45810
"2016-12-02",16.695,16.695,16.14,16.15,51383
"2016-12-01",16.408,16.774,16.319,16.635,60269
"2016-11-30",16.398,17.031,16.19,16.467,52884
"2016-11-29",17.16,17.2,16.388,16.437,101953
"2016-11-28",17.428,17.616,17.23,17.239,56270
"2016-11-25",17.131,17.428,16.992,17.378,57549
"2016-11-23",17.527,17.626,17.299,17.388,67490
"2016-11-22",17.299,17.596,17.21,17.546,75387
"2016-11-21",17.675,17.695,17.031,17.239,109743
"2016-11-18",18.418,18.438,17.596,17.596,133382
"2016-11-17",18.447,18.675,18.319,18.339,71661
"2016-11-16",18.418,19.111,18.378,18.636,138466
"2016-11-15",18.457,18.764,18.121,18.537,104382
"2016-11-14",18.715,18.715,18.299,18.457,114586
"2016-11-11",18.834,19.012,18.438,18.804,137509
"2016-11-10",18.844,19.16,18.655,18.725,109671
"2016-11-09",19.012,19.259,18.24,18.646,151268
"2016-11-08",18.467,19.061,18.319,19.022,119098
"2016-11-07",18.913,19.477,18.596,18.675,148494
"2016-11-04",18.19,19.685,18.17,18.913,226106
"2016-11-03",18.051,18.319,17.725,18.121,149348
"2016-11-02",18.378,19.17,18.319,18.348,187269
"2016-11-01",18.032,18.794,17.923,18.596,192657
"2016-10-31",17.546,18.507,17.437,18.022,173885
"2016-10-28",17.824,17.942,17.447,17.467,100030
"2016-10-27",17.556,18.21,17.546,17.962,132761
"2016-10-26",17.923,17.923,17.527,17.626,95347
"2016-10-25",17.705,18.2,17.586,18.002,124987
"2016-10-24",17.536,17.873,17.536,17.764,98756
"2016-10-21",17.705,18.002,17.309,17.784,155328
"2016-10-20",18.517,18.685,17.982,18.002,184811
"2016-10-19",18.21,19.309,18.131,18.764,280983
"2016-10-18",18.071,18.279,17.764,18.21,155821
"2016-10-17",17.834,18.299,17.764,18.032,191481
"2016-10-14",18.467,18.586,17.645,17.982,281900
"2016-10-13",18.814,19.111,18.319,18.319,245965
"2016-10-12",18.814,19.279,18.616,18.913,379349
"2016-10-11",17.923,20.052,17.675,19.576,615130
"2016-10-10",18.507,18.507,17.546,18.23,457628
"2016-09-30",16.021,16.923,15.843,16.824,278424
"2016-09-29",16.239,16.833,15.754,15.833,148542
"2016-09-28",15.606,15.903,15.586,15.695,82343
"2016-09-27",15.348,15.804,15.269,15.685,90551
"2016-09-26",15.823,16.279,15.546,15.556,157176
"2016-09-23",15.655,16.021,15.546,15.883,136380
"2016-09-22",15.408,16.091,15.408,15.645,157651
"2016-09-21",15.427,15.586,15.219,15.368,98285
"2016-09-20",14.843,15.823,14.714,15.616,146589
"2016-09-19",14.705,14.843,14.665,14.764,61199
"2016-09-14",15.061,15.17,14.665,14.764,102840
"2016-09-13",14.942,15.784,14.734,15.259,201682
"2016-09-12",14.348,15.695,14.18,15.041,198693
"2016-09-09",14.942,14.942,14.477,14.477,57299
"2016-09-08",14.942,15.101,14.804,14.922,46102
"2016-09-07",14.952,15.17,14.863,14.922,50370
"2016-09-06",14.932,15.031,14.705,15.011,70256
"2016-09-02",14.853,14.992,14.467,14.625,61605
"2016-09-01",15.338,15.398,14.754,14.784,113544
"2016-08-31",15.15,15.596,15.031,15.447,115780
"2016-08-30",15.19,15.447,15.101,15.19,98528
"2016-08-29",14.942,15.239,14.932,15.101,54660
"2016-08-26",15.309,15.427,14.972,15.061,93161
"2016-08-25",15.417,15.417,14.863,15.14,127450
"2016-08-24",15.913,16.328,15.546,15.596,153354
"2016-08-23",15.893,16.041,15.576,15.794,111767
"2016-08-22",16.091,16.388,15.566,15.863,174444
"2016-08-19",16.923,17.111,16.091,16.259,264106
"2016-08-18",15.863,17.764,15.655,17.18,398267
"2016-08-17",15.616,17.121,15.447,16.299,350129
"2016-08-16",14.863,16.21,14.705,15.625,285248
"2016-08-15",14.546,15.328,14.497,14.962,249048
"2016-08-12",14.427,14.893,14.259,14.685,202942
"2016-08-11",13.962,14.922,13.873,14.635,284558
"2016-08-10",14.021,14.269,13.744,14.031,148525
"2016-08-09",13.972,14.348,13.962,14.1,125459
"2016-08-08",13.942,14.457,13.873,14.081,177428
"2016-08-05",13.576,14.338,13.566,14.13,232360
"2016-08-04",13.576,13.734,13.338,13.665,120821
"2016-08-03",13.051,14.051,13.031,13.774,216789
"2016-08-02",12.754,13.17,12.576,13.12,54547
"2016-08-01",13.11,13.437,12.912,12.912,64475
"2016-07-29",13.081,13.457,12.972,13.219,72338
"2016-07-28",13.526,13.615,12.784,13.17,110894
"2016-07-27",13.794,14.249,12.665,13.704,219651
"2016-07-26",13.576,13.823,13.526,13.744,57395
"2016-07-25",13.566,13.774,13.427,13.625,61285
"2016-07-22",13.695,14.001,13.566,13.566,97962
"2016-07-21",13.477,14.457,13.427,13.813,149760
"2016-07-20",13.645,13.734,13.467,13.516,74157
"2016-07-19",13.239,13.803,13.17,13.714,118315
"2016-07-18",13.546,13.546,13.17,13.239,73690
"2016-07-15",13.249,13.695,13.229,13.605,132141
"2016-07-14",13.269,13.437,13.13,13.259,58565
"2016-07-13",13.199,13.447,13.071,13.338,91608
"2016-07-12",13.19,13.209,12.744,13.17,67667
"2016-07-11",13.209,13.318,13.13,13.15,54264
"2016-07-08",13.13,13.348,13.12,13.249,56846
"2016-07-07",13.318,13.388,13.061,13.259,110424
"2016-07-06",13.388,14.328,13.298,13.576,161411
"2016-07-05",13.279,13.338,13.12,13.269,73497
"2016-07-01",13.417,13.516,13.061,13.1,71915
"2016-06-30",13.328,13.516,13.081,13.259,94222
"2016-06-29",13.467,13.625,13.229,13.298,109589
"2016-06-28",13.081,13.843,13.071,13.595,162943
"2016-06-27",12.833,13.298,12.704,13.279,140460
"2016-06-24",12.536,13.447,12.457,13.209,203482
"2016-06-23",12.922,13.685,12.655,12.685,174142
"2016-06-22",12.011,12.734,11.882,12.615,120605
"2016-06-21",12.229,12.328,11.902,11.972,42207
"2016-06-20",12.189,12.328,11.991,12.13,51535
"2016-06-17",11.981,12.576,11.981,12.387,86884
"2016-06-16",12.031,12.12,11.833,11.892,45487
"2016-06-15",11.665,12.189,11.566,12.09,53386
"2016-06-14",11.734,11.952,11.645,11.793,46109
"2016-06-13",12.486,12.536,11.694,11.704,64098
"2016-06-08",12.714,12.823,12.576,12.655,49640
"2016-06-07",12.774,12.883,12.675,12.724,54969
"2016-06-06",12.744,13.16,12.556,12.902,82787
"2016-06-03",12.605,12.873,12.605,12.714,76131
"2016-06-02",12.457,12.843,12.397,12.665,80692
"2016-06-01",12.467,12.585,12.378,12.467,83638
"2016-05-31",12.031,12.486,12.031,12.477,101998
"2016-05-27",11.843,12.536,11.764,12.249,96994
"2016-05-26",11.873,12.051,11.437,11.833,48785
"2016-05-25",12.249,12.279,11.962,11.972,35742
"2016-05-24",12.11,12.338,12.061,12.1,51348
"2016-05-23",12.051,12.307,12.051,12.13,41553
"2016-05-20",11.795,12.1,11.638,11.992,37807
"2016-05-19",11.943,12.179,11.864,11.923,40863
"2016-05-18",12.1,12.179,11.776,11.904,60642
"2016-05-17",12.1,12.553,12.002,12.346,71032
"2016-05-16",11.933,12.061,11.756,12.051,42129
"2016-05-13",12.002,12.14,11.786,11.923,48052
"2016-05-12",12.11,12.11,11.559,11.884,63519
"2016-05-11",12.454,12.671,12.297,12.395,55636
"2016-05-10",12.268,12.632,12.258,12.386,51461
"2016-05-09",13.173,13.173,12.307,12.395,91476
"2016-05-06",14.078,14.137,13.281,13.291,147646
"2016-05-05",13.989,14.235,13.851,14.048,86963
"2016-05-04",13.969,14.314,13.871,14.137,128274
"2016-05-03",13.684,14.038,13.586,14.019,102522
"2016-04-29",13.684,13.96,13.674,13.812,68450
"2016-04-28",14.019,14.019,13.576,13.802,113694
"2016-04-27",13.842,14.147,13.753,13.989,122984
"2016-04-26",13.674,13.92,13.487,13.881,114227
"2016-04-25",13.969,13.969,13.635,13.743,111918
"2016-04-22",14.117,14.609,13.783,14.009,232002
"2016-04-21",14.56,16.232,14.481,14.934,448535
"2016-04-20",14.55,15.307,13.301,15.15,419461
"2016-04-19",13.901,14.953,13.891,14.757,304671
"2016-04-18",14.206,14.206,13.783,13.812,101498
"2016-04-15",14.078,14.491,13.832,14.265,189051
"2016-04-14",14.009,14.294,13.92,14.078,127631
"2016-04-13",13.674,14.117,13.655,13.822,126499
"2016-04-12",13.684,13.851,13.428,13.714,89217
"2016-04-11",13.537,13.91,13.517,13.724,80199
"2016-04-08",13.527,13.901,13.232,13.468,116428
"2016-04-07",14.353,14.658,13.871,13.871,171369
"2016-04-06",14.097,14.363,13.95,14.333,163903
"2016-04-05",13.674,14.206,13.576,14.107,122745
"2016-04-01",13.93,13.93,13.428,13.665,106832
"2016-03-31",13.783,14.314,13.635,13.999,144874
"2016-03-30",13.409,13.773,13.291,13.773,105172
"2016-03-29",13.773,13.891,13.163,13.242,124010
"2016-03-28",14.225,14.442,13.655,13.851,164225
"2016-03-24",14.55,15.278,14.068,14.461,279262
"2016-03-23",14.412,14.737,14.284,14.678,216091
"2016-03-22",14.934,15.13,14.452,14.511,381067
"2016-03-21",13.655,14.934,13.507,14.934,438427
"2016-03-18",13.202,13.733,12.986,13.576,265072
"2016-03-17",12.75,13.163,12.533,13.123,185827
"2016-03-16",13.36,13.497,12.415,12.71,192651
"2016-03-15",13.232,13.96,13.232,13.35,219575
"2016-03-14",12.858,13.724,12.848,13.32,234261
"2016-03-11",12.789,13.222,12.395,12.779,263239
"2016-03-10",12.966,14.137,12.887,13.556,416824
"2016-03-09",12.75,13.694,12.395,12.848,188748
"2016-03-08",13.281,13.733,12.11,13.32,255800
"2016-03-07",12.986,13.714,12.907,13.458,243968
"2016-03-04",14.461,15.239,12.966,13.173,391213
"2016-03-03",14.038,15.268,13.989,14.186,427754
"2016-03-02",12.828,14.442,12.71,13.881,396152
"2016-03-01",12.386,13.576,12.297,13.163,374494
"2016-02-29",13.379,13.596,12.179,12.494,274946
"2016-02-26",14.058,14.117,13.163,13.36,331381
"2016-02-25",15.888,15.976,14.579,14.579,231489
"2016-02-24",15.691,16.399,15.465,16.203,326883
