"Date","Open","High","Low","Close","Volume"
"2018-04-27",13.85,14.29,13.85,14.02,18735
"2018-04-26",14.36,14.64,14.05,14.07,23418
"2018-04-25",14.75,14.75,14.36,14.36,27526
"2018-04-24",14.07,14.58,14.07,14.55,36737
"2018-04-23",14.32,14.45,13.95,14.07,21624
"2018-04-20",14.33,14.59,14.12,14.39,29940
"2018-04-19",14.32,14.39,14.2,14.32,16829
"2018-04-18",14.32,14.45,14.09,14.33,21767
"2018-04-17",14.46,14.56,14.16,14.18,23004
"2018-04-16",14.78,14.88,14.33,14.46,28533
"2018-04-13",14.95,15.02,14.72,14.75,20964
"2018-04-12",14.98,15.1,14.76,14.87,49966
"2018-04-11",15.38,15.55,15.31,15.38,28860
"2018-04-10",15.24,15.47,15.2,15.4,25064
"2018-04-09",15.23,15.59,14.92,15.31,38868
"2018-04-04",15.52,15.59,15.23,15.29,28661
"2018-04-03",15.5,15.5,15.2,15.25,43101
"2018-04-02",15.84,16.19,15.72,15.73,50410
"2018-03-29",15.53,16.53,15.53,16.4,101470
"2018-03-28",15.38,15.56,15.2,15.52,23159
"2018-03-27",15.5,15.68,15.3,15.51,32103
"2018-03-26",15,15.31,14.41,15.29,42396
"2018-03-23",15.78,16.7,15.2,15.49,78035
"2018-03-22",15.89,16.49,15.88,16.2,37798
"2018-03-21",16,16.29,15.85,15.94,32173
"2018-03-20",15.88,16.17,15.63,15.95,28683
"2018-03-19",16.04,16.2,15.89,15.93,22940
"2018-03-16",16.1,16.35,16.02,16.1,27537
"2018-03-15",15.95,16.37,15.95,16.23,38119
"2018-03-14",16.19,16.32,15.98,16.04,35493
"2018-03-13",16.52,16.54,16.25,16.35,38441
"2018-03-12",16.4,16.6,16.34,16.45,40176
"2018-03-09",16.62,16.62,16.17,16.4,80609
"2018-03-08",16.57,17.09,16.48,16.65,67872
"2018-03-07",16.62,17.38,16.4,16.85,105340
"2018-03-06",15.72,17.18,15.5,16.8,131661
"2018-03-05",15.7,16.05,15.63,15.7,34431
"2018-03-02",15.4,16.35,15.31,15.92,60009
"2018-03-01",15.5,15.6,15.32,15.51,22884
"2018-02-28",15.4,15.55,15.18,15.51,25809
"2018-02-27",15.68,15.68,15.41,15.45,26439
"2018-02-26",15.71,15.74,15.39,15.68,36973
"2018-02-23",15.24,15.83,15.11,15.52,39275
"2018-02-22",15.13,15.33,15,15.23,23304
"2018-02-14",14.95,14.98,14.76,14.92,17192
"2018-02-13",14.66,14.97,14.65,14.92,27239
"2018-02-12",14.2,14.81,14.2,14.62,27227
"2018-02-09",14.8,14.84,13.85,14.17,42745
"2018-02-08",15.06,15.35,15.02,15.2,21908
"2018-02-07",15.53,15.76,14.6,15.05,39041
"2018-02-06",15.97,15.97,15.23,15.25,44267
